Date/Service Area,Tuba City,Kayenta,Shiprock,Chinle,Winslow,Ft. Defiance,Gallup,Crownpoint
1/1/2020,0,0,0,0,0,0,0,0
1/2/2020,0,0,0,0,0,0,0,0
1/3/2020,0,0,0,0,0,0,0,0
1/4/2020,0,0,0,0,0,0,0,0
1/5/2020,0,0,0,0,0,0,0,0
1/6/2020,0,0,0,0,0,0,0,0
1/7/2020,0,0,0,0,0,0,0,0
1/8/2020,0,0,0,0,0,0,0,0
1/9/2020,0,0,0,0,0,0,0,0
1/10/2020,0,0,0,0,0,0,0,0
1/11/2020,0,0,0,0,0,0,0,0
1/12/2020,0,0,0,0,0,0,0,0
1/13/2020,0,0,0,0,0,0,0,0
1/14/2020,0,0,0,0,0,0,0,0
1/15/2020,0,0,0,0,0,0,0,0
1/16/2020,0,0,0,0,0,0,0,0
1/17/2020,0,0,0,0,0,0,0,0
1/18/2020,0,0,0,0,0,0,0,0
1/19/2020,0,0,0,0,0,0,0,0
1/20/2020,0,0,0,0,0,0,0,0
1/21/2020,0,0,0,0,0,0,0,0
1/22/2020,0,0,0,0,0,0,0,0
1/23/2020,0,0,0,0,0,0,0,0
1/24/2020,0,0,0,0,0,0,0,0
1/25/2020,0,0,0,0,0,0,0,0
1/26/2020,0,0,0,0,0,0,0,0
1/27/2020,0,0,0,0,0,0,0,0
1/28/2020,0,0,0,0,0,0,0,0
1/29/2020,0,0,0,0,0,0,0,0
1/30/2020,0,0,0,0,0,0,0,0
1/31/2020,0,0,0,0,0,0,0,0
2/1/2020,0,0,0,0,0,0,0,0
2/2/2020,0,0,0,0,0,0,0,0
2/3/2020,0,0,0,0,0,0,0,0
2/4/2020,0,0,0,0,0,0,0,0
2/5/2020,0,0,0,0,0,0,0,0
2/6/2020,0,0,0,0,0,0,0,0
2/7/2020,0,0,0,0,0,0,0,0
2/8/2020,0,0,0,0,0,0,0,0
2/9/2020,0,0,0,0,0,0,0,0
2/10/2020,0,0,0,0,0,0,0,0
2/11/2020,0,0,0,0,0,0,0,0
2/12/2020,0,0,0,0,0,0,0,0
2/13/2020,0,0,0,0,0,0,0,0
2/14/2020,0,0,0,0,0,0,0,0
2/15/2020,0,0,0,0,0,0,0,0
2/16/2020,0,0,0,0,0,0,0,0
2/17/2020,0,0,0,0,0,0,0,0
2/18/2020,0,0,0,0,0,0,0,0
2/19/2020,0,0,0,0,0,0,0,0
2/20/2020,0,0,0,0,0,0,0,0
2/21/2020,0,0,0,0,0,0,0,0
2/22/2020,0,0,0,0,0,0,0,0
2/23/2020,0,0,0,0,0,0,0,0
2/24/2020,0,0,0,0,0,0,0,0
2/25/2020,0,0,0,0,0,0,0,0
2/26/2020,0,0,0,0,0,0,0,0
2/27/2020,0,0,0,0,0,0,0,0
2/28/2020,0,0,0,0,0,0,0,0
2/29/2020,0,0,0,0,0,0,0,0
3/1/2020,0,0,0,0,0,0,0,0
3/2/2020,0,0,0,0,0,0,0,0
3/3/2020,0,0,0,0,0,0,0,0
3/4/2020,0,0,0,0,0,0,0,0
3/5/2020,0,0,0,0,0,0,0,0
